lenguaje,soporte,diferencias_entre_versiones,curva_aprendizaje,descripcion_tecnica
Python,Alto,Bajo,Baja,"Popular en ciencia de datos, AI, desarrollo general"
JavaScript,Alto,Media,Media,Lenguaje principal para desarrollo web
Java,Alto,Alta,Media,"Orientado a objetos, multiplataforma"
C#,Alto,Media,Alta,Muy usado en ecosistemas Microsoft
C++,Media,Alta,Alta,"Lenguaje potente pero complejo, uso en sistemas embebidos"
PHP,Media,Media,Baja,Popular en desarrollo web tradicional
Ruby,Bajo,Media,Baja,"Fácil de usar, pero menos usado actualmente"
Swift,Medio,Media,Media,Lenguaje moderno para Apple
Go,Medio,Baja,Media,"Lenguaje de Google, rendimiento y concurrencia"
Kotlin,Medio,Baja,Media,Recomendado por Google para Android
Rust,Bajo,Alta,Alta,"Lenguaje seguro y rápido, curva pronunciada"
TypeScript,Alto,Media,Media,"JavaScript tipado, usado en frontend moderno"
Perl,Bajo,Alta,Alta,"Lenguaje veterano, con baja adopción moderna"
Scala,Medio,Alta,Alta,"Funcional y orientado a objetos, sobre la JVM"
Dart,Medio,Media,Media,"Lenguaje de Google, base de Flutter"
Elixir,Bajo,Baja,Media,"Lenguaje funcional, concurrente, sobre Erlang"
Objective-C,Bajo,Alta,Alta,Usado históricamente en iOS/macOS
Lua,Medio,Media,Media,"Lenguaje embebido, usado en videojuegos"
Haskell,Bajo,Alta,Alta,"Lenguaje puramente funcional, complejo"
Matlab,Medio,Media,Media,Popular en ingeniería y matemáticas
R,Medio,Media,Media,Lenguaje estadístico con enfoque en análisis de datos
Visual Basic,Bajo,Media,Baja,"Lenguaje antiguo de Microsoft, fácil pero obsoleto"
Shell,Alto,Baja,Media,"Scripts de sistema, útil en DevOps"
Groovy,Bajo,Media,Media,Lenguaje para scripting en entornos Java
